************************************************************************
        TABLE OF ISOTOPES  0.100E+00  0.100E+03

        NO. SYMBOL T/F MASSNR PROTON
        1100  =  NGIS           5  =  ISOMERS
           1   NEUT      T    1.     0.   1
           2   PROT      T    1.     1.   1
           3   H   2     T    2.     1.   1
           4   HE  3     T    3.     2.   1
           5   HE  4     T    4.     2.   1
           6   BE  7     T    7.     4.   1
           7   B   8     T    8.     5.   1
           8   LI  7     T    7.     3.   1
           9   C  11     T   11.     6.   1
          10   B  11     T   11.     5.   1
          11   C  12     T   12.     6.   1
          12   C  13     T   13.     6.   1
          13   N  13     T   13.     7.   1
          14   N  14     T   14.     7.   1
          15   C  14     T   14.     6.   1
          16   N  15     T   15.     7.   1
          17   O  16     T   16.     8.   1
          18   O  17     T   17.     8.   1
          19   O  18     T   18.     8.   1
          20   F  17     T   17.     9.   1
          21   F  18     T   18.     9.   1
          22   F  19     T   19.     9.   1
          23   NE 20     T   20.    10.   1
          24   NE 21     T   21.    10.   1
          25   NE 22     T   22.    10.   1
          26   NA 22     T   22.    11.   1
          27   NA 23     T   23.    11.   1
          28   MG 23     T   23.    12.   1
          29   MG 24     T   24.    12.   1
          30   MG 25     T   25.    12.   1
          31   MG 26     T   26.    12.   1
          32   AL 26     T   26.    13.   1
          33   AL 27     T   27.    13.   1
          34   SI 27     T   27.    14.   1
          35   SI 28     T   28.    14.   1
          36   SI 29     T   29.    14.   1
          37   SI 30     T   30.    14.   1
          38   P  31     T   31.    15.   1
          39   S  31     T   31.    16.   1
          40   L   1     F    1.     0.   1
          41   G   1     F    1.     0.   1
          42   G  63     F   63.     0.   1
          43   LI  6     T    6.     3.   1
          44   BE  9     T    9.     4.   1
          45   B  10     T   10.     5.   1
          46   BE  8     T    8.     4.   1
          47   O  14     T   14.     8.   1
          48   O  15     T   15.     8.   1
          49   NA 21     T   21.    11.   1
          50   AL 25     T   25.    13.   1
          51   P  29     T   29.    15.   1
          52   P  30     T   30.    15.   1
          53   PB206     T  206.    82.   1
          54   PB207     T  207.    82.   1
          55   BI211     T  211.    83.   1
          56   PO210     T  210.    84.   1
          57   OOOOO     F    0.     0.   1
          58   F  20     T   20.     9.   1
          59   NE 19     T   19.    10.   1
          60   NA 24     T   24.    11.   1
          61   MG 27     T   27.    12.   1
          62   MG 28     T   28.    12.   1
          63   AL 28     T   28.    13.   1
          64   AL 29     T   29.    13.   1
          65   SI 31     T   31.    14.   1
          66   SI 32     T   32.    14.   1
          67   P  32     T   32.    15.   1
          68   P  33     T   33.    15.   1
          69   P  34     T   34.    15.   1
          70   P  35     T   35.    15.   1
          71   S  32     T   32.    16.   1
          72   S  33     T   33.    16.   1
          73   S  34     T   34.    16.   1
          74   S  35     T   35.    16.   1
          75   S  36     T   36.    16.   1
          76   S  37     T   37.    16.   1
          77   S  38     T   38.    16.   1
          78   CL 34     T   34.    17.   1
          79   CL 35     T   35.    17.   1
          80   CL 36     T   36.    17.   1
          81   CL 37     T   37.    17.   1
          82   CL 38     T   38.    17.   1
          83   CL 39     T   39.    17.   1
          84   CL 40     T   40.    17.   1
          85   AR 35     T   35.    18.   1
          86   AR 36     T   36.    18.   1
          87   AR 37     T   37.    18.   1
          88   AR 38     T   38.    18.   1
          89   AR 39     T   39.    18.   1
          90   AR 40     T   40.    18.   1
          91   AR 41     T   41.    18.   1
          92   AR 42     T   42.    18.   1
          93   AR 43     T   43.    18.   1
          94   AR 44     T   44.    18.   1
          95   K  38     T   38.    19.   1
          96   K  39     T   39.    19.   1
          97   K  40     T   40.    19.   1
          98   K  41     T   41.    19.   1
          99   K  42     T   42.    19.   1
         100   K  43     T   43.    19.   1
         101   K  44     T   44.    19.   1
         102   K  45     T   45.    19.   1
         103   K  46     T   46.    19.   1
         104   CA 39     T   39.    20.   1
         105   CA 40     T   40.    20.   1
         106   CA 41     T   41.    20.   1
         107   CA 42     T   42.    20.   1
         108   CA 43     T   43.    20.   1
         109   CA 44     T   44.    20.   1
         110   CA 45     T   45.    20.   1
         111   CA 46     T   46.    20.   1
         112   CA 47     T   47.    20.   1
         113   CA 48     T   48.    20.   1
         114   CA 49     T   49.    20.   1
         115   SC 43     T   43.    21.   1
         116   SC 44     T   44.    21.   1
         117   SC 45     T   45.    21.   1
         118   SC 46     T   46.    21.   1
         119   SC 47     T   47.    21.   1
         120   SC 48     T   48.    21.   1
         121   SC 49     T   49.    21.   1
         122   SC 50     T   50.    21.   1
         123   TI 44     T   44.    22.   1
         124   TI 45     T   45.    22.   1
         125   TI 46     T   46.    22.   1
         126   TI 47     T   47.    22.   1
         127   TI 48     T   48.    22.   1
         128   TI 49     T   49.    22.   1
         129   TI 50     T   50.    22.   1
         130   TI 51     T   51.    22.   1
         131   TI 52     T   52.    22.   1
         132   V  47     T   47.    23.   1
         133   V  48     T   48.    23.   1
         134   V  49     T   49.    23.   1
         135   V  50     T   50.    23.   1
         136   V  51     T   51.    23.   1
         137   V  52     T   52.    23.   1
         138   V  53     T   53.    23.   1
         139   CR 48     T   48.    24.   1
         140   CR 49     T   49.    24.   1
         141   CR 50     T   50.    24.   1
         142   CR 51     T   51.    24.   1
         143   CR 52     T   52.    24.   1
         144   CR 53     T   53.    24.   1
         145   CR 54     T   54.    24.   1
         146   CR 55     T   55.    24.   1
         147   CR 56     T   56.    24.   1
         148   MN 51     T   51.    25.   1
         149   MN 52     T   52.    25.   1
         150   MN 53     T   53.    25.   1
         151   MN 54     T   54.    25.   1
         152   MN 55     T   55.    25.   1
         153   MN 56     T   56.    25.   1
         154   MN 57     T   57.    25.   1
         155   FE 52     T   52.    26.   1
         156   FE 53     T   53.    26.   1
         157   FE 54     T   54.    26.   1
         158   FE 55     T   55.    26.   1
         159   FE 56     T   56.    26.   1
         160   FE 57     T   57.    26.   1
         161   FE 58     T   58.    26.   1
         162   FE 59     T   59.    26.   1
         163   FE 60     T   60.    26.   1
         164   FE 61     T   61.    26.   1
         165   CO 55     T   55.    27.   1
         166   CO 56     T   56.    27.   1
         167   CO 57     T   57.    27.   1
         168   CO 58     T   58.    27.   1
         169   CO 59     T   59.    27.   1
         170   CO 60     T   60.    27.   1
         171   CO 61     T   61.    27.   1
         172   CO 62     T   62.    27.   1
         173   CO 63     T   63.    27.   1
         174   NI 56     T   56.    28.   1
         175   NI 57     T   57.    28.   1
         176   NI 58     T   58.    28.   1
         177   NI 59     T   59.    28.   1
         178   NI 60     T   60.    28.   1
         179   NI 61     T   61.    28.   1
         180   NI 62     T   62.    28.   1
         181   NI 63     T   63.    28.   1
         182   NI 64     T   64.    28.   1
         183   NI 65     T   65.    28.   1
         184   NI 66     T   66.    28.   1
         185   NI 67     T   67.    28.   1
         186   NI 68     T   68.    28.   1
         187   CU 60     T   60.    29.   1
         188   CU 61     T   61.    29.   1
         189   CU 62     T   62.    29.   1
         190   CU 63     T   63.    29.   1
         191   CU 64     T   64.    29.   1
         192   CU 65     T   65.    29.   1
         193   CU 66     T   66.    29.   1
         194   CU 67     T   67.    29.   1
         195   CU 68     T   68.    29.   1
         196   CU 69     T   69.    29.   1
         197   CU 70     T   70.    29.   1
         198   CU 71     T   71.    29.   1
         199   ZN 62     T   62.    30.   1
         200   ZN 63     T   63.    30.   1
         201   ZN 64     T   64.    30.   1
         202   ZN 65     T   65.    30.   1
         203   ZN 66     T   66.    30.   1
         204   ZN 67     T   67.    30.   1
         205   ZN 68     T   68.    30.   1
         206   ZN 69     T   69.    30.   1
         207   ZN 70     T   70.    30.   1
         208   ZN 71     T   71.    30.   1
         209   ZN 72     T   72.    30.   1
         210   ZN 73     T   73.    30.   1
         211   ZN 74     T   74.    30.   1
         212   GA 65     T   65.    31.   1
         213   GA 66     T   66.    31.   1
         214   GA 67     T   67.    31.   1
         215   GA 68     T   68.    31.   1
         216   GA 69     T   69.    31.   1
         217   GA 70     T   70.    31.   1
         218   GA 71     T   71.    31.   1
         219   GA 72     T   72.    31.   1
         220   GA 73     T   73.    31.   1
         221   GA 74     T   74.    31.   1
         222   GA 75     T   75.    31.   1
         223   GE 66     T   66.    32.   1
         224   GE 67     T   67.    32.   1
         225   GE 68     T   68.    32.   1
         226   GE 69     T   69.    32.   1
         227   GE 70     T   70.    32.   1
         228   GE 71     T   71.    32.   1
         229   GE 72     T   72.    32.   1
         230   GE 73     T   73.    32.   1
         231   GE 74     T   74.    32.   1
         232   GE 75     T   75.    32.   1
         233   GE 76     T   76.    32.   1
         234   GE 77     T   77.    32.   1
         235   GE 78     T   78.    32.   1
         236   AS 69     T   69.    33.   1
         237   AS 70     T   70.    33.   1
         238   AS 71     T   71.    33.   1
         239   AS 72     T   72.    33.   1
         240   AS 73     T   73.    33.   1
         241   AS 74     T   74.    33.   1
         242   AS 75     T   75.    33.   1
         243   AS 76     T   76.    33.   1
         244   AS 77     T   77.    33.   1
         245   AS 78     T   78.    33.   1
         246   AS 79     T   79.    33.   1
         247   AS 80     T   80.    33.   1
         248   AS 81     T   81.    33.   1
         249   SE 72     T   72.    34.   1
         250   SE 73     T   73.    34.   1
         251   SE 74     T   74.    34.   1
         252   SE 75     T   75.    34.   1
         253   SE 76     T   76.    34.   1
         254   SE 77     T   77.    34.   1
         255   SE 78     T   78.    34.   1
         256   SE 79     T   79.    34.   1
         257   SE 80     T   80.    34.   1
         258   SE 81     T   81.    34.   1
         259   SE 82     T   82.    34.   1
         260   SE 83     T   83.    34.   1
         261   SE 84     T   84.    34.   1
         262   BR 74     T   74.    35.   1
         263   BR 75     T   75.    35.   1
         264   BR 76     T   76.    35.   1
         265   BR 77     T   77.    35.   1
