 initial abundance for selected isotopes
    1   0.00000E+00  NEUT 
    2   7.52973E-01  PROT 
    3   1.94192E-05  H   2
    4   7.52672E-06  HE  3
    5   2.47000E-01  HE  4
    6   0.00000E+00  BE  7
    7   0.00000E+00  B   8
    8   3.49982E-10  LI  7
    9   0.00000E+00  C  11
   10   0.00000E+00  B  11
   11   0.00000E+00  C  12
   12   0.00000E+00  C  13
   13   0.00000E+00  N  13
   14   0.00000E+00  N  14
   15   0.00000E+00  C  14
   16   0.00000E+00  N  15
   17   0.00000E+00  O  16
   18   0.00000E+00  O  17
   19   0.00000E+00  O  18
   20   0.00000E+00  F  17
   21   0.00000E+00  F  18
   22   0.00000E+00  F  19
   23   0.00000E+00  NE 20
   24   0.00000E+00  NE 21
   25   0.00000E+00  NE 22
   26   0.00000E+00  NA 22
   27   0.00000E+00  NA 23
   28   0.00000E+00  MG 23
   29   0.00000E+00  MG 24
   30   0.00000E+00  MG 25
   31   0.00000E+00  MG 26
   32   0.00000E+00  AL 26
   33   0.00000E+00  AL 27
   34   0.00000E+00  SI 27
   35   0.00000E+00  SI 28
   36   0.00000E+00  SI 29
   37   0.00000E+00  SI 30
   38   0.00000E+00  P  31
   39   0.00000E+00  S  31
   43   9.69829E-15  LI  6
   44   0.00000E+00  BE  9
   45   0.00000E+00  B  10
   46   0.00000E+00  BE  8
   47   0.00000E+00  O  14
   48   0.00000E+00  O  15
   49   0.00000E+00  NA 21
   50   0.00000E+00  AL 25
   51   0.00000E+00  P  29
   52   0.00000E+00  P  30
   53   0.00000E+00  PB206
   54   0.00000E+00  PB207
   55   0.00000E+00  BI211
   56   0.00000E+00  PO210
   58   0.00000E+00  F  20
   59   0.00000E+00  NE 19
   60   0.00000E+00  NA 24
   61   0.00000E+00  MG 27
   62   0.00000E+00  MG 28
   63   0.00000E+00  AL 28
   64   0.00000E+00  AL 29
   65   0.00000E+00  SI 31
   66   0.00000E+00  SI 32
   67   0.00000E+00  P  32
   68   0.00000E+00  P  33
   69   0.00000E+00  P  34
   70   0.00000E+00  P  35
   71   0.00000E+00  S  32
   72   0.00000E+00  S  33
   73   0.00000E+00  S  34
   74   0.00000E+00  S  35
   75   0.00000E+00  S  36
   76   0.00000E+00  S  37
   77   0.00000E+00  S  38
   78   0.00000E+00  CL 34
   79   0.00000E+00  CL 35
   80   0.00000E+00  CL 36
   81   0.00000E+00  CL 37
   82   0.00000E+00  CL 38
   83   0.00000E+00  CL 39
   84   0.00000E+00  CL 40
   85   0.00000E+00  AR 35
   86   0.00000E+00  AR 36
   87   0.00000E+00  AR 37
   88   0.00000E+00  AR 38
   89   0.00000E+00  AR 39
   90   0.00000E+00  AR 40
   91   0.00000E+00  AR 41
   92   0.00000E+00  AR 42
   93   0.00000E+00  AR 43
   94   0.00000E+00  AR 44
   95   0.00000E+00  K  38
   96   0.00000E+00  K  39
   97   0.00000E+00  K  40
   98   0.00000E+00  K  41
   99   0.00000E+00  K  42
  100   0.00000E+00  K  43
  101   0.00000E+00  K  44
  102   0.00000E+00  K  45
  103   0.00000E+00  K  46
  104   0.00000E+00  CA 39
  105   0.00000E+00  CA 40
  106   0.00000E+00  CA 41
  107   0.00000E+00  CA 42
  108   0.00000E+00  CA 43
  109   0.00000E+00  CA 44
  110   0.00000E+00  CA 45
  111   0.00000E+00  CA 46
  112   0.00000E+00  CA 47
  113   0.00000E+00  CA 48
  114   0.00000E+00  CA 49
  115   0.00000E+00  SC 43
  116   0.00000E+00  SC 44
  117   0.00000E+00  SC 45
  118   0.00000E+00  SC 46
  119   0.00000E+00  SC 47
  120   0.00000E+00  SC 48
  121   0.00000E+00  SC 49
  122   0.00000E+00  SC 50
  123   0.00000E+00  TI 44
  124   0.00000E+00  TI 45
  125   0.00000E+00  TI 46
  126   0.00000E+00  TI 47
  127   0.00000E+00  TI 48
  128   0.00000E+00  TI 49
  129   0.00000E+00  TI 50
  130   0.00000E+00  TI 51
  131   0.00000E+00  TI 52
  132   0.00000E+00  V  47
  133   0.00000E+00  V  48
  134   0.00000E+00  V  49
  135   0.00000E+00  V  50
  136   0.00000E+00  V  51
  137   0.00000E+00  V  52
  138   0.00000E+00  V  53
  139   0.00000E+00  CR 48
  140   0.00000E+00  CR 49
  141   0.00000E+00  CR 50
  142   0.00000E+00  CR 51
  143   0.00000E+00  CR 52
  144   0.00000E+00  CR 53
  145   0.00000E+00  CR 54
  146   0.00000E+00  CR 55
  147   0.00000E+00  CR 56
  148   0.00000E+00  MN 51
  149   0.00000E+00  MN 52
  150   0.00000E+00  MN 53
  151   0.00000E+00  MN 54
  152   0.00000E+00  MN 55
  153   0.00000E+00  MN 56
  154   0.00000E+00  MN 57
  155   0.00000E+00  FE 52
  156   0.00000E+00  FE 53
  157   0.00000E+00  FE 54
  158   0.00000E+00  FE 55
  159   0.00000E+00  FE 56
  160   0.00000E+00  FE 57
  161   0.00000E+00  FE 58
  162   0.00000E+00  FE 59
  163   0.00000E+00  FE 60
  164   0.00000E+00  FE 61
  165   0.00000E+00  CO 55
  166   0.00000E+00  CO 56
  167   0.00000E+00  CO 57
  168   0.00000E+00  CO 58
  169   0.00000E+00  CO 59
  170   0.00000E+00  CO 60
  171   0.00000E+00  CO 61
  172   0.00000E+00  CO 62
